Id,Regra,Severidade,Categoria,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65102932,no-undef,2,,,,,
65104785,no-extra-semi,2,,,,,
65104785,no-unused-vars,2,,,,,
65104785,no-unused-vars,2,,,,,
65107499,no-unused-vars,2,,,,,
65107974,valid-typeof,2,,,,,
65107974,no-undef,2,,,,,
65108036,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65108907,no-undef,2,,,,,
65112302,no-unused-vars,2,,,,,
65112302,no-unused-vars,2,,,,,
65112800,no-unused-vars,2,,,,,
65112800,no-redeclare,2,,,,,
65112800,no-redeclare,2,,,,,
65113780,no-unused-vars,2,,,,,
65113780,no-undef,2,,,,,
65113780,no-extra-semi,2,,,,,
65114239,no-undef,2,,,,,
65114477,no-unused-vars,2,,,,,
65114477,no-undef,2,,,,,
65114477,no-undef,2,,,,,
65114477,no-undef,2,,,,,
65115716,no-undef,2,,,,,
65115716,no-undef,2,,,,,
65116071,no-redeclare,2,,,,,
65117455,no-unused-vars,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-unused-vars,2,,,,,
65117455,no-undef,2,,,,,
65117455,no-extra-semi,2,,,,,
65117754,no-unused-vars,2,,,,,
65117754,no-undef,2,,,,,
65117754,no-undef,2,,,,,
65117754,no-useless-escape,2,,,,,
65117754,no-useless-escape,2,,,,,
65117754,no-undef,2,,,,,
65117929,no-unused-vars,2,,,,,
65117929,no-undef,2,,,,,
65117929,no-undef,2,,,,,
65117995,no-unused-vars,2,,,,,
65117995,no-undef,2,,,,,
65120239,no-undef,2,,,,,
65121205,no-unused-vars,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121205,no-unused-labels,2,,,,,
65121205,no-irregular-whitespace,2,,,,,
65121336,no-undef,2,,,,,
65121336,no-undef,2,,,,,
65121336,no-undef,2,,,,,
65121336,no-undef,2,,,,,
